"","dates","lwr_ci","upper_ci","meanest"
"1",2003-01-01,-0.572438843129396,-0.0508203401024891,-0.573892507731102
"2",2004-01-01,-0.538606426058965,-0.0299138903462957,0.278277440872207
"3",2005-01-01,-0.573555402355807,-0.0597225659048322,0.953952893892043
"4",2006-01-01,-0.565882765444641,-0.0530952532849069,0.904097714047064
"5",2007-01-01,-0.606450595081153,-0.0770683036423901,0.456133543071146
"6",2008-01-01,-0.602176606250255,-0.0756826584410807,0.920072875644184
"7",2009-01-01,-0.632049366541628,-0.0932622792412716,-0.331464302301727
"8",2010-01-01,-0.645173920998787,-0.102888461469808,1.26770896119139
"9",2011-01-01,-0.714295414230119,-0.144902449008461,-0.167146709578079
"10",2012-01-01,-0.707767708677517,-0.145374701093689,-0.227468271803351
"11",2013-01-01,-0.695837407260615,-0.136665305144579,0.704856294603412
"12",2014-01-01,-0.696680015599793,-0.143094105767513,0.574981200318142
"13",2015-01-01,-0.710437214524326,-0.147389763260067,1.67032905965546
"14",2016-01-01,-0.718169750323155,-0.158498031536195,0.596336476103501
"15",2017-01-01,-0.730831755799111,-0.161759183257812,1.56741075684156
"16",2018-01-01,-0.783248882027548,-0.199334517235582,-1.19624230016409
"17",2019-01-01,-0.837217451110176,-0.234358225118997,0.95834359756421
"18",2020-01-01,-0.904261898530912,-0.275173234757826,-1.37912000737522
