"","dates","lwr_ci","upper_ci","meanest"
"1",2003-01-01,-0.755173294571837,-0.0667755014727767,-0.968013693643732
"2",2004-01-01,-0.736137923317248,-0.0502954779890266,0.585355597190726
"3",2005-01-01,-0.773319796685712,-0.0840744956940333,0.456949498992384
"4",2006-01-01,-0.758114633240627,-0.0731217925839211,1.62709937274855
"5",2007-01-01,-0.807075920341385,-0.117035563825209,0.758756584128904
"6",2008-01-01,-0.792189332570235,-0.10279598223381,0.940708151414224
"7",2009-01-01,-0.851074264510003,-0.158725424334618,-0.426686699234505
"8",2010-01-01,-0.846936370256215,-0.16303776924565,1.57769981667615
"9",2011-01-01,-0.937413466191777,-0.230931894338417,-0.474033755962269
"10",2012-01-01,-0.943752616707803,-0.227656412511691,-0.0246730975055066
"11",2013-01-01,-0.908882561138789,-0.206307089597603,1.03350116648657
"12",2014-01-01,-0.924595076411395,-0.216591892933745,1.08467626477665
"13",2015-01-01,-0.944592201222856,-0.221003266661673,2.2666371336476
"14",2016-01-01,-0.959198639246239,-0.248330209331217,0.716942700082566
"15",2017-01-01,-0.969144861464542,-0.246282426954974,1.30293368519229
"16",2018-01-01,-1.0207693171299,-0.298119666273873,-0.125387032655204
"17",2019-01-01,-1.1037482638284,-0.368304261583635,0.210373329877979
"18",2020-01-01,-1.17064238050858,-0.410636926651757,-0.908102866684634
