"dates2","x"
1895-01-01,35.5177619436416
1896-01-01,35.5196921882341
1897-01-01,37.32069294218
1898-01-01,38.2019632513883
1899-01-01,37.4468218370725
1900-01-01,41.0346866656544
1901-01-01,41.4293404980739
1902-01-01,37.75444005323
1903-01-01,38.4744075726269
1904-01-01,34.584909686809
1905-01-01,38.560639870743
1906-01-01,34.395547869043
1907-01-01,34.7158491548995
1908-01-01,34.5334667812341
1909-01-01,34.7856187470513
1910-01-01,38.8242939886272
1911-01-01,33.5929193180109
1912-01-01,33.8239837428756
1913-01-01,37.0561217806266
1914-01-01,32.4735311220466
1915-01-01,35.2589627089859
1916-01-01,33.6264251515694
1917-01-01,38.7755338438875
1918-01-01,34.4387734990239
1919-01-01,36.2945121482978
1920-01-01,36.1182925013796
1921-01-01,32.9253404158524
1922-01-01,38.0404733892229
1923-01-01,33.1342797687599
1924-01-01,38.123755652195
1925-01-01,34.9505492239826
1926-01-01,37.5354802493238
1927-01-01,34.552331400112
1928-01-01,36.8741151968546
1929-01-01,33.339831987091
1930-01-01,34.2100205485322
1931-01-01,38.0545982611894
1932-01-01,36.4414685659792
1933-01-01,37.8187927708212
1934-01-01,39.8854520761071
1935-01-01,36.7773026003696
1936-01-01,36.9655678615226
1937-01-01,38.5963527277312
1938-01-01,37.7919429752392
1939-01-01,39.8051082986555
1940-01-01,39.6484172390031
1941-01-01,35.5604515464485
1942-01-01,39.6644125056947
1943-01-01,36.7916547778601
1944-01-01,39.3183592583596
1945-01-01,37.0497707973474
1946-01-01,35.5708404623219
1947-01-01,36.5221527301786
1948-01-01,37.5706548007616
1949-01-01,35.8022484843232
1950-01-01,35.6977993071461
1951-01-01,38.5790965203011
1952-01-01,35.9011241743991
1953-01-01,35.8001660884086
1954-01-01,35.7204801618324
1955-01-01,33.926427693442
1956-01-01,36.1041815796076
1957-01-01,32.1207095753265
1958-01-01,39.1307963202981
1959-01-01,35.5254462791447
1960-01-01,41.6817127521051
1961-01-01,35.7133274511605
1962-01-01,38.9679435881058
1963-01-01,35.4615835013192
1964-01-01,35.6848859992497
1965-01-01,34.5670341742754
1966-01-01,37.4091220382486
1967-01-01,34.6259685620778
1968-01-01,32.3223159603414
1969-01-01,37.3612188729146
1970-01-01,37.226687158619
1971-01-01,37.6088043794982
1972-01-01,38.2567173319635
1973-01-01,36.7303219008182
1974-01-01,36.0302950915168
1975-01-01,35.2785967614113
1976-01-01,35.3839178879593
1977-01-01,35.0376720728399
1978-01-01,38.9690317332779
1979-01-01,38.1456389940958
1980-01-01,38.7291368763323
1981-01-01,35.5203533450323
1982-01-01,32.6421058523704
1983-01-01,33.1599767925993
1984-01-01,32.1663893386939
1985-01-01,37.8116951555309
1986-01-01,34.3552642382365
1987-01-01,34.2343488625475
1988-01-01,34.4539357553614
1989-01-01,37.5988204436172
1990-01-01,34.7362696559331
1991-01-01,35.0539757901316
1992-01-01,32.7473334499619
1993-01-01,34.2623513976571
1994-01-01,39.8249072273179
1995-01-01,38.7488263673955
1996-01-01,39.1634637413847
1997-01-01,34.8908634918959
1998-01-01,36.7252715937815
1999-01-01,29.1570696144793
2000-01-01,39.761727615783
2001-01-01,35.0829553076467
2002-01-01,41.9232178100959
2003-01-01,42.7931256035975
2004-01-01,38.1466937901048
2005-01-01,40.6160302326022
2006-01-01,35.1947445277912
2007-01-01,38.5920783683319
2008-01-01,37.4501269556578
2009-01-01,41.7963379674966
2010-01-01,33.87867474431
2011-01-01,39.4501694483193
2012-01-01,36.7235374583987
2013-01-01,34.2057891039218
2014-01-01,36.0944011534934
2015-01-01,34.3364110745589
2016-01-01,36.861322284092
2017-01-01,37.2631018043745
2018-01-01,40.5878036645657
2019-01-01,42.9443658996475
2020-01-01,45.2047210475631
