"dates2","x"
1895-01-01,37.0087622150388
1896-01-01,36.0933810920827
1897-01-01,38.5379470346968
1898-01-01,39.7990026724234
1899-01-01,39.3385076439415
1900-01-01,42.3794319386385
1901-01-01,43.4316998918272
1902-01-01,39.8494116613538
1903-01-01,40.5025978866889
1904-01-01,36.2078022525887
1905-01-01,40.8094348851863
1906-01-01,36.2361373901367
1907-01-01,36.0355488579753
1908-01-01,36.0534262254009
1909-01-01,36.0824984002739
1910-01-01,40.6767777312254
1911-01-01,35.4546990130455
1912-01-01,35.3541300637381
1913-01-01,39.0823232077996
1914-01-01,34.2044104973707
1915-01-01,37.128336998186
1916-01-01,35.1391224430184
1917-01-01,40.5420926041228
1918-01-01,36.4329369492155
1919-01-01,37.3305705045472
1920-01-01,38.0732703306237
1921-01-01,34.7403011544453
1922-01-01,39.8470038700382
1923-01-01,34.2199585639353
1924-01-01,39.829094739419
1925-01-01,36.9553103989137
1926-01-01,39.3629574511559
1927-01-01,36.4122970681149
1928-01-01,38.7299079394549
1929-01-01,35.0694204502829
1930-01-01,36.3173579001913
1931-01-01,39.1272352068487
1932-01-01,38.149234860701
1933-01-01,39.4022268234119
1934-01-01,41.281733971643
1935-01-01,38.232245058777
1936-01-01,38.6056727640135
1937-01-01,40.2616028187921
1938-01-01,39.0452816131859
1939-01-01,41.723839200968
1940-01-01,41.2004626082262
1941-01-01,37.1594316688293
1942-01-01,41.5839700337402
1943-01-01,37.825387387512
1944-01-01,40.978460867968
1945-01-01,38.2500431961638
1946-01-01,35.9192035719535
1947-01-01,37.7796116153283
1948-01-01,39.1073852461212
1949-01-01,37.2957207593556
1950-01-01,37.1012676339108
1951-01-01,40.2020660211324
1952-01-01,37.3306562685063
1953-01-01,37.3831183263929
1954-01-01,36.6940232101752
1955-01-01,34.6448156284521
1956-01-01,37.8718756127983
1957-01-01,33.8046107167058
1958-01-01,40.8335752403771
1959-01-01,36.6515410676294
1960-01-01,44.0318524941759
1961-01-01,37.9245194971735
1962-01-01,41.1760999440452
1963-01-01,36.8573797131419
1964-01-01,36.8425274840597
1965-01-01,36.347766047664
1966-01-01,39.0710768630136
1967-01-01,35.9854555991926
1968-01-01,34.4261207358135
1969-01-01,39.2979255431595
1970-01-01,39.2075269882603
1971-01-01,39.6229712261055
1972-01-01,40.1514537911373
1973-01-01,38.2806184006849
1974-01-01,37.7481381330129
1975-01-01,37.336721242343
1976-01-01,36.782331616816
1977-01-01,36.3405233666779
1978-01-01,40.7582620670775
1979-01-01,40.6836407553003
1980-01-01,40.0406271431258
1981-01-01,36.984612267497
1982-01-01,33.7446423244198
1983-01-01,34.6460024107997
1984-01-01,32.7787790493089
1985-01-01,39.2398068508671
1986-01-01,35.8177505026058
1987-01-01,35.6341464929609
1988-01-01,35.7115053783005
1989-01-01,39.2668241439686
1990-01-01,36.2160384397813
1991-01-01,36.9006341928643
1992-01-01,33.947754573544
1993-01-01,36.0035218497407
1994-01-01,41.8183406351607
1995-01-01,41.2864550876895
1996-01-01,40.6399426585384
1997-01-01,36.9602466171754
1998-01-01,38.3949676157782
1999-01-01,30.1203698083194
2000-01-01,40.9959028594348
2001-01-01,36.454491690366
2002-01-01,43.0535075129295
2003-01-01,44.1786526438099
2004-01-01,39.9197568198335
2005-01-01,42.745374946483
2006-01-01,36.9426920587745
2007-01-01,40.2275858898552
2008-01-01,38.7234577312414
2009-01-01,43.9459988174216
2010-01-01,35.1002897757483
2011-01-01,40.9928701528655
2012-01-01,37.8920285416762
2013-01-01,35.2014735141231
2014-01-01,37.6320267947005
2015-01-01,35.7306481742303
2016-01-01,38.1238822937012
2017-01-01,38.7545130593436
2018-01-01,41.2109644697985
2019-01-01,45.3713417942948
2020-01-01,47.6791927348768
