"dates","ACCESS.CM2","ACCESS.ESM1.5","CanESM5_","CanESM5.CanOE","CMCC.ESM2","CNRM.CM6.1_","CNRM.CM6.1.HR","CNRM.ESM2.1","EC.Earth3_","EC.Earth3.CC","EC.Earth3.Veg","EC.Earth3.Veg.LR","FGOALS.g3","FIO.ESM.2.0","GFDL.ESM4","GISS.E2","HadGEM3.GC31.LL","INM.CM4.8","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","UKESM1.0.LL"
1950-01-01,37.0250907652076,37.7426716218334,36.6536411762084,36.3868892841626,36.3934633611462,38.4290795396586,37.933574247381,38.8418826411516,NA,36.9025661517107,38.8426405638732,37.944992696302,35.5630175569197,37.3342556130267,37.2269580554844,38.3653873414548,41.0657809276232,37.1616691560705,36.1582494152186,36.2291542665204,36.2594962135638,36.5575913562015,37.1858899885788,35.8902494504372,36.7988962361277,37.9629442872863
1951-01-01,40.2895826910627,40.9234203456329,39.5567807512959,39.3200820923918,39.4863109269615,41.4049558849189,40.9498065941934,41.9161442831043,NA,40.3335860819671,42.1225206827619,41.1412133205777,38.8532406120415,40.1512392130534,40.2833712171147,41.490886642055,43.6458635867767,39.6692397067636,38.7676603914272,39.1529861322959,39.1051343735389,40.3055595687775,40.4420529319035,39.0871019556343,39.0395777320926,41.2293517365528
1952-01-01,37.7749812992769,38.1018008178185,36.5843610160391,36.2653223790617,37.6650704146484,38.5248904437554,37.7158561954813,38.8261193481717,NA,37.9674896914861,38.9535967884939,38.2622019422878,35.9217051440062,36.914159764918,37.7696107328435,38.5863978697869,40.90011169737,36.7496317628188,34.985799644894,36.3636473634295,36.3680015525458,37.9417020515857,37.3981755544251,36.5044606783195,36.4783688225381,38.3176351760537
1953-01-01,37.9344320835759,38.0671547480649,36.5859492607758,36.2995340920065,37.2964839704685,38.7430247966483,37.777823518006,38.8806870263356,NA,38.1740354306909,39.1938307925512,38.6626753705652,35.8334463503652,36.9331081549866,37.8433381576493,38.5362548078172,40.8265729499568,36.9515365184092,34.2362453490416,36.4611855973272,36.3379303578392,38.2929802480491,37.2642843312562,36.5252283237297,36.6195230284725,38.488502729469
1954-01-01,37.1469780567346,37.47845197633,35.7922061964298,35.3513261999895,36.4097472819509,37.9957896279896,36.6555131508537,38.391245879321,NA,37.1559959776149,38.427863755778,37.911110720595,35.2051257380969,36.0515493213369,37.2994881892169,37.8932645692103,39.2415582935768,37.204531697163,33.3803068772033,35.656318471814,35.6366268946163,38.2963319392605,36.3906409056831,35.8529850093064,35.9478509664146,37.7584441741951
1955-01-01,35.1897276002936,35.2830311765179,33.7577395292791,33.1642153257877,34.4924893590197,35.7630553375992,34.6814488427745,36.2159547924868,NA,34.9232907404636,36.5690970025354,35.8038981254907,33.289523742398,34.1475542538125,35.6978096726801,36.0928490819629,36.5987887100563,35.7499603284034,31.7967827750676,33.7174586985062,33.7190815772788,35.9933676842784,34.1573018279231,33.7270475913655,33.4979083633133,36.007968184272
1956-01-01,38.215174407414,38.2525063271994,37.012260364402,36.5743253096656,38.3041005370639,38.7771373818032,38.0486650000333,39.6777554390719,NA,38.5321464844116,39.6731395500718,38.9270232075161,36.3937693608832,37.3522853228084,39.2677290845399,39.1822248969641,39.797278661468,38.9904643142112,34.4162218238746,37.0889229911657,36.9050528216515,39.6802929164211,37.4720001199593,36.9610725286545,36.2610893227642,39.3457086680775
1957-01-01,33.9223391186176,34.1036092253878,32.9237587547305,32.5489411308397,33.9766489726318,34.7955716220079,33.8704656456697,35.6828434127655,NA,34.7749233173526,35.5630729109022,34.6731365739454,32.7954282999326,33.3287306581436,35.2756164478245,34.8143870084109,36.0576566088889,34.6454240766169,30.3223290723139,33.0935902432231,32.7631625933909,35.5911418009516,33.3286192745189,32.78562698917,31.7380112174098,35.5515190095529
1958-01-01,40.861490461351,41.1999222430683,39.9198854125572,39.743972093865,40.6929807520259,42.1797063170485,41.1068047750312,42.8715644674975,NA,41.7975838991455,42.688655885811,41.6355651751751,39.8308512473258,40.7401326304963,42.4699807220048,42.0101333331779,43.1413724283352,40.9951977548115,36.1151395878906,40.0539153999205,39.7952645938748,41.9605904724154,40.5067751160639,39.9590456503221,38.964754117783,43.0083421363195
1959-01-01,36.6597037344444,37.2237531490842,35.8750233374577,35.9228944459589,36.1389444256762,37.9818923330212,37.1285010979191,38.9234044636816,NA,37.7586994241046,38.2787959580857,37.1931845488678,35.8919466410465,36.6339184823613,38.0199237870467,37.9288179955266,38.5262238647172,36.4985086324125,32.4076895054347,36.0153378965566,35.7993937666358,37.9963402761995,36.1408323661799,35.8212115233466,35.8675264717059,38.8280466347676
