"dates2","x"
1895-01-01,16.9204184565712
1896-01-01,17.1729799826541
1897-01-01,17.9988647393845
1898-01-01,18.4734208140541
1899-01-01,17.8739829470764
1900-01-01,21.3957449131875
1901-01-01,20.4204829278304
1902-01-01,18.4041576529268
1903-01-01,19.3981680462708
1904-01-01,16.7470765233639
1905-01-01,18.6124118105251
1906-01-01,15.6433744861852
1907-01-01,16.5636572382558
1908-01-01,16.0242572333945
1909-01-01,16.8573857408073
1910-01-01,19.0029525708913
1911-01-01,15.3256204739288
1912-01-01,16.1762586095225
1913-01-01,17.8605434810696
1914-01-01,15.0943193052282
1915-01-01,17.3264283654678
1916-01-01,15.5482956057218
1917-01-01,17.8899141675863
1918-01-01,16.6087061244639
1919-01-01,17.4329050869199
1920-01-01,17.146091465974
1921-01-01,14.6280760118111
1922-01-01,18.3037814710607
1923-01-01,16.2018938927195
1924-01-01,18.2547235968125
1925-01-01,16.4364400509015
1926-01-01,17.702390536591
1927-01-01,15.747820638532
1928-01-01,17.718694835452
1929-01-01,15.5827523571762
1930-01-01,15.5216249389265
1931-01-01,18.8448778947993
1932-01-01,16.4796933936114
1933-01-01,18.4615494042785
1934-01-01,19.132288640468
1935-01-01,17.4995828944834
1936-01-01,17.3529790370309
1937-01-01,18.0564062223962
1938-01-01,18.1685157229553
1939-01-01,19.3441156214805
1940-01-01,19.7318907119521
1941-01-01,17.4175537339407
1942-01-01,20.2100663017388
1943-01-01,18.9478577417345
1944-01-01,19.3339483845773
1945-01-01,18.8162310327118
1946-01-01,17.4004962288555
1947-01-01,18.2782428252637
1948-01-01,16.7891159441004
1949-01-01,15.3843254108525
1950-01-01,15.2435181392497
1951-01-01,17.9339332676413
1952-01-01,14.8935404111393
1953-01-01,15.6348428103193
1954-01-01,14.854435628383
1955-01-01,16.1910628361918
1956-01-01,15.897290972609
1957-01-01,11.919028476255
1958-01-01,18.4586766257358
1959-01-01,16.3797533524096
1960-01-01,19.7061018248898
1961-01-01,15.570387696501
1962-01-01,17.8690316569266
1963-01-01,15.7820241247589
1964-01-01,16.1571759698379
1965-01-01,15.6036783438831
1966-01-01,18.1827635118111
1967-01-01,16.6483340718638
1968-01-01,14.7285778774089
1969-01-01,17.2321261880386
1970-01-01,16.9090000660575
1971-01-01,17.4221049073953
1972-01-01,18.1779645938969
1973-01-01,16.3265209293845
1974-01-01,16.1980769478496
1975-01-01,16.4020752595298
1976-01-01,16.6306624915732
1977-01-01,16.1324492315551
1978-01-01,20.3331059499003
1979-01-01,17.4597769023186
1980-01-01,20.0361937566019
1981-01-01,15.8371017398547
1982-01-01,15.3406540856289
1983-01-01,15.0883806219053
1984-01-01,13.2679770747621
1985-01-01,18.1624821706034
1986-01-01,15.6045904830473
1987-01-01,16.4859948278073
1988-01-01,15.6368423634438
1989-01-01,18.4709358838335
1990-01-01,15.192328524949
1991-01-01,14.7916174174553
1992-01-01,15.4267655904569
1993-01-01,18.1776227615586
1994-01-01,19.282844557834
1995-01-01,17.5590317932206
1996-01-01,17.7062946300411
1997-01-01,15.6002476994117
1998-01-01,16.4010514350393
1999-01-01,12.2673158621668
2000-01-01,19.2340647730995
2001-01-01,16.9770095240531
2002-01-01,21.5652770037627
2003-01-01,21.8949738746911
2004-01-01,17.4715827242214
2005-01-01,19.7128651058255
2006-01-01,15.3253531000722
2007-01-01,18.2777866382695
2008-01-01,17.4854184107565
2009-01-01,18.9616809250721
2010-01-01,17.2822249762377
2011-01-01,19.0458870652932
2012-01-01,18.0841254469138
2013-01-01,15.8497978526743
2014-01-01,15.896202959607
2015-01-01,15.2575500718313
2016-01-01,16.3258947870839
2017-01-01,16.0519171959192
2018-01-01,22.9415065918736
2019-01-01,19.7510569730596
2020-01-01,21.8649012455389
