"","dates","lwr_ci","upper_ci","meanest"
"1",2003-01-01,-0.430234980045351,-0.0323496015473965,-0.805379944550203
"2",2004-01-01,-0.431024388451291,-0.0214949382123943,-0.292623156029695
"3",2005-01-01,-0.45227656122128,-0.0407325949273992,1.0341010001364
"4",2006-01-01,-0.450223227124679,-0.0390412792067603,0.291629766627788
"5",2007-01-01,-0.470309065552197,-0.052797634472683,0.498828268374249
"6",2008-01-01,-0.462281744102195,-0.0507930571602263,0.22309662940033
"7",2009-01-01,-0.497587704014584,-0.0719483382861628,-0.917453660390278
"8",2010-01-01,-0.487145096216902,-0.0644649672086651,1.58541576509546
"9",2011-01-01,-0.540078086846407,-0.0971596961233224,-0.520653434367059
"10",2012-01-01,-0.538842902570256,-0.0923574413299659,-0.089201418496049
"11",2013-01-01,-0.532362999051276,-0.0915773124717821,0.837639361887473
"12",2014-01-01,-0.55375371499675,-0.103102410510896,-0.0432494008936384
"13",2015-01-01,-0.55507532805473,-0.101663145241434,2.71641819586072
"14",2016-01-01,-0.56316859830413,-0.109103301904301,0.664204714683238
"15",2017-01-01,-0.564688735122968,-0.115983138499304,0.97441961512378
"16",2018-01-01,-0.599502629772306,-0.129457249679613,-0.332633173018513
"17",2019-01-01,-0.65251786026747,-0.165414321778119,0.343251267224538
"18",2020-01-01,-0.700928479537591,-0.187474486250864,-0.919677057676207
