"","x"
"1",-1.08739319476758
"2",-0.334129183155872
"3",0.942732042002236
"4",0.177727413558129
"5",0.345068855666218
"6",-0.091344161378405
"7",-0.993529747373783
"8",1.27821601021677
"9",-0.888200606643728
"10",-0.476799708669864
"11",0.379655597530626
"12",-0.40158248182914
"13",2.4201349204901
"14",0.375234085090396
"15",0.667193250466395
"16",-0.956862177948306
"17",0.0500173407528124
"18",-1.40613825400701
