"","dates","lwr_ci","upper_ci","meanest"
"1",2003-01-01,-0.456560222785784,-0.0223147550604118,-0.707911769637124
"2",2004-01-01,-0.430632175895793,-0.0084030075826836,0.207778303134535
"3",2005-01-01,-0.460275416895071,-0.0245230783651329,0.738841036926493
"4",2006-01-01,-0.453800842457506,-0.0182916538894591,1.05969538887219
"5",2007-01-01,-0.479360776850024,-0.0307525311539385,0.636363851753345
"6",2008-01-01,-0.482453986182199,-0.033349551814739,0.731687730312199
"7",2009-01-01,-0.505990179370869,-0.0429602426311372,-0.203160506854492
"8",2010-01-01,-0.517309467299396,-0.0457901993348737,0.763947210686107
"9",2011-01-01,-0.571987126472829,-0.0725933315438217,-0.165614858772131
"10",2012-01-01,-0.573799545368346,-0.0737628089365742,-0.410622892733093
"11",2013-01-01,-0.560410038659829,-0.06973584898969,0.413024687437294
"12",2014-01-01,-0.561576530319477,-0.0701003698031924,0.406968250526204
"13",2015-01-01,-0.575244754098938,-0.0714849901930824,1.30118854819326
"14",2016-01-01,-0.575923539273923,-0.0782710428044635,0.457446694391684
"15",2017-01-01,-0.586785114571133,-0.0777036094330429,1.32522676699012
"16",2018-01-01,-0.635512718006045,-0.100920447011718,-1.32432035555875
"17",2019-01-01,-0.69450439866338,-0.12092567427623,1.24720811828561
"18",2020-01-01,-0.731698731649063,-0.139561237476586,-1.35512403619302
