"","dates","lwr_ci","upper_ci","meanest"
"1",2003-01-01,-0.435105821950385,-0.0350467802941948,-0.867360224061632
"2",2004-01-01,-0.420071457185729,-0.0238178686708271,-0.123779871195443
"3",2005-01-01,-0.445182179687614,-0.0422630033643334,1.17429830390483
"4",2006-01-01,-0.446642004933568,-0.0402609922459009,0.409144849786865
"5",2007-01-01,-0.463389479447961,-0.0573163908525765,0.592981098463352
"6",2008-01-01,-0.461837070864298,-0.0557023168759789,0.156675163978846
"7",2009-01-01,-0.49530774360505,-0.0811318742847216,-0.71990491985635
"8",2010-01-01,-0.490141333574011,-0.0738696712570274,1.54697288924365
"9",2011-01-01,-0.542473293332341,-0.109098869151776,-0.577199140509282
"10",2012-01-01,-0.544100696640413,-0.108463868774265,-0.166379646528975
"11",2013-01-01,-0.522329487948598,-0.0968578342917457,0.680506834138963
"12",2014-01-01,-0.539189855543762,-0.110966845189741,-0.0860458494945026
"13",2015-01-01,-0.546298907801086,-0.111288761098651,2.7343623949168
"14",2016-01-01,-0.55724394084969,-0.118569586274476,0.699567420137809
"15",2017-01-01,-0.573091882866388,-0.125509102070727,0.999942788317766
"16",2018-01-01,-0.602758909823561,-0.149258033528949,-0.599187740093434
"17",2019-01-01,-0.645933158334492,-0.178144637958795,0.449763141850646
"18",2020-01-01,-0.683760867279235,-0.199911419002609,-0.977334030938387
