"","dates","ensemble.avg","ACCESS.CM2","ACCESS.ESM1.5","CanESM5_","CanESM5.CanOE","CMCC.ESM2","CNRM.CM6.1_","CNRM.CM6.1.HR","CNRM.ESM2.1","EC.Earth3_","EC.Earth3.CC","EC.Earth3.Veg","EC.Earth3.Veg.LR","FGOALS.g3","FIO.ESM.2.0","GFDL.ESM4","GISS.E2","HadGEM3.GC31.LL","INM.CM4.8","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","UKESM1.0.LL"
"2",1950-01-01,0.184428249459124,0.245280511731157,-0.0714371686213553,0.0557656765487526,0.956941470248408,1.05854381214488,0.677078773098296,0.612784010364172,-0.00636913986926836,NA,0.772883568667711,-0.403849476639942,-0.990581173615567,0.922613656649031,0.518734361357077,-0.0972290745073545,-0.143320550555009,-0.210775497302284,-0.356507722886316,-0.328095786056445,-0.0327083413064682,-0.116107794947172,0.280368631660605,0.920022553176362,0.367189917342211,0.0507558932635249,-0.0712748734668954
"3",1950-02-01,0.122528472849154,-0.0082790380970758,0.403326615072788,-0.029580449347622,0.471604172155657,1.23365038501669,-0.3223870991806,-0.212590371408773,-0.0243351665889187,NA,0.0806769646041422,-0.231134892349019,-0.412714246524273,1.1756054994764,0.531528504472015,0.105459523131078,-0.321030382918939,-0.572207053921901,-0.746309380703775,0.039591125309294,0.0472216146549284,0.0151795823739532,0.92580574659619,0.497166432430085,0.183259169685345,0.475341477678445,-0.241636910387266
"4",1950-03-01,-0.0743553162381721,-0.105469652898699,0.0990942305250761,-0.0970696034659861,0.12363273891574,-0.349741328473441,0.201789362743648,-0.513808884904996,-0.0471263711066901,NA,0.768149979070258,-0.580676004404197,-1.05723481984665,0.494111199253119,1.21781763280008,-0.74933537806079,-0.223737042111035,-0.527183170262662,-0.431866992044325,0.150219592320944,-0.0800359549844864,-0.434512064098807,0.116795673786766,0.259194640516651,0.434811416614376,-0.407569054447902,-0.119133051390292
"5",1950-04-01,0.0616414414969289,0.0368077342461277,0.0113119804879331,0.0521352187051303,0.493790141205401,0.161012863203915,-0.236790926210192,0.349729804582493,0.0665814481444962,NA,0.607108773001262,0.11115335518547,0.14321981550001,0.0161140315110859,1.29080892483937,-0.790244423228321,-0.0256345490486401,-0.791870552726722,0.387985065419176,-0.401825431458305,-0.16293938261429,-0.188901845385722,-0.0564311654298167,-0.0179738765354865,0.0824983509171855,0.540980408967757,-0.137589725856096
"6",1950-05-01,0.124483179770298,0.0740851349145541,0.146043239109757,0.332768970657302,0.670960864790799,0.0696587764855691,-0.235569825332453,-0.606249847859561,-0.14803265998039,NA,0.741829543426004,-0.209507392741609,-0.0807378506031283,0.457228984814117,0.811273664696366,-0.187093250104373,-0.325029199624452,-0.436739086102651,0.503934539168446,0.469613713090138,-0.015364002975942,-0.0947894328873437,-0.197961345236325,0.298799392834442,0.253368101164537,0.638186371058432,0.18140209149522
"7",1950-06-01,-0.0435869160172466,0.193106434095866,-0.225386480868558,0.293885166321099,0.612450569279626,0.682380200457837,-0.271061016441993,-0.923196655750757,-0.923681776192395,NA,0.225527411169098,-0.388530348985659,-0.291777468644349,0.0888511530931185,0.06395710248751,-0.28738307959095,-0.208673878778818,-1.05710043510968,0.753214935869518,0.0768181197687448,0.156098958192308,-0.0535162214302121,-0.255040426990735,0.727758783096193,0.276153598262102,-0.307761207796856,-0.046766335943227
"8",1950-07-01,-0.146594458948056,-0.116500900233744,-0.254443515312159,0.0559796917002728,0.218913463444622,0.462828847040532,-0.587365173757486,-0.68395039697313,-0.975371711194814,NA,0.343868272768326,-0.736539441702532,-0.549828160877289,0.526527037858256,-0.414791282437535,-0.30680639541043,-0.543347062067081,-1.67094186016542,0.289468595592401,0.364597947762991,0.302662762694706,0.394318793860191,-0.0751592333443453,0.0193273430579039,0.372494111734896,0.234705234203159,-0.335508441943691
"9",1950-08-01,0.00481064789706362,0.179819940720514,-0.211813287778203,0.284211043461327,0.321283705765127,0.072427281652831,-0.379080666063199,0.0779628809596244,-0.288951141831411,NA,-0.189430614184307,-0.528328326347406,-0.0645018497092942,0.637717734567121,0.249098124524275,0.220446870815639,-0.37694402998611,-1.16176636398478,-0.327478782079546,0.347820331950125,0.356268520180639,0.241745672788399,0.487252817561003,-0.0752808616541297,0.542731393379253,-0.00301038158488286,-0.291933815696022
"10",1950-09-01,-0.0548228956976414,-0.340248034823097,-0.328920346718307,0.332781236754836,0.365583165362359,-0.259243162869231,-0.140843313545927,-0.758877127937337,-0.466976463340239,NA,0.0921333350277733,0.0235648351913488,0.00572579372353585,0.268474382715603,-0.0206887512107627,0.0444437394277276,-0.23333485175437,-1.46378420832569,0.388648269369945,0.249875447710474,0.367285964953621,0.0778500033093013,0.672339834721005,0.0582895273337317,0.14332278804669,0.0587260346025731,-0.506700490166601
"11",1950-10-01,0.175331171336907,0.252392940079978,-0.221395442552123,0.400238537800513,1.00338625294179,-0.837852196120107,0.131780607609455,-0.507941348018997,-0.56091501172363,NA,0.237366647431347,0.242263243927864,-0.081230101425356,0.273749595932943,-0.197941925953725,0.813823005126868,-0.13908568828803,0.107555689956214,0.734063977253647,0.855444201695947,0.615174480490097,0.335475176093085,0.204629360483613,0.515295780066302,0.191793033040099,0.396332145086823,-0.381123677511952
