"dates2","x"
1895-01-01,21.5756850071442
1896-01-01,22.3576003368084
1897-01-01,22.8823829870958
1898-01-01,23.5695820612785
1899-01-01,22.6829116845742
1900-01-01,25.5788807795598
1901-01-01,25.115887996478
1902-01-01,22.9517568881695
1903-01-01,24.0302253038455
1904-01-01,21.4539726404043
1905-01-01,23.6802114657867
1906-01-01,20.1969921454405
1907-01-01,21.2166145300254
1908-01-01,20.6045617323655
1909-01-01,21.3512146803049
1910-01-01,23.7241170809819
1911-01-01,19.5815065432818
1912-01-01,20.283078787877
1913-01-01,22.2848263985071
1914-01-01,19.4162614577856
1915-01-01,21.4726733305515
1916-01-01,19.7663372675578
1917-01-01,22.5439974491413
1918-01-01,20.9726769447327
1919-01-01,22.0087565788856
1920-01-01,21.5032337848957
1921-01-01,18.7174473224542
1922-01-01,22.5202968670772
1923-01-01,20.1849738463377
1924-01-01,22.9184133920914
1925-01-01,20.632017380152
1926-01-01,22.3654884680724
1927-01-01,20.034265268766
1928-01-01,22.2881408813672
1929-01-01,19.8345899043939
1930-01-01,19.6801947960487
1931-01-01,23.3372889445378
1932-01-01,21.01462316024
1933-01-01,23.3405636127178
1934-01-01,24.4908762613932
1935-01-01,22.3199859888126
1936-01-01,22.2097096981146
1937-01-01,23.5385287358211
1938-01-01,23.1363873286125
1939-01-01,24.5677487837963
1940-01-01,24.7499124967135
1941-01-01,21.6076471010844
1942-01-01,24.5527633006756
1943-01-01,23.2873069616464
1944-01-01,23.9475866415562
1945-01-01,22.8240631127969
1946-01-01,21.8276712099711
1947-01-01,22.7538798699012
1948-01-01,21.8418365331796
1949-01-01,20.088704485771
1950-01-01,20.0766033001435
1951-01-01,22.9184315339113
1952-01-01,20.010635410211
1953-01-01,20.4586923599243
1954-01-01,20.1530246074383
1955-01-01,20.0151615191729
1956-01-01,20.6090166385357
1957-01-01,16.9625929685739
1958-01-01,23.0758625935286
1959-01-01,20.8138041422917
1960-01-01,24.535772443429
1961-01-01,20.2281246552101
1962-01-01,23.1199383564484
1963-01-01,20.7313262646015
1964-01-01,21.0148921746474
1965-01-01,20.1859624838218
1966-01-01,22.8626956352821
1967-01-01,20.5744584743793
1968-01-01,18.794087209457
1969-01-01,22.1888622919718
1970-01-01,22.0450661463615
1971-01-01,22.0641976478772
1972-01-01,22.9928000792479
1973-01-01,21.250415127094
1974-01-01,20.9284050183418
1975-01-01,21.060083587353
1976-01-01,21.3965461266346
1977-01-01,20.9732760893993
1978-01-01,24.8665940235823
1979-01-01,22.4153920369271
1980-01-01,24.5684570483672
1981-01-01,20.5111061829787
1982-01-01,19.6384313045404
1983-01-01,19.2089167961707
1984-01-01,17.7982080679673
1985-01-01,22.7591317225725
1986-01-01,19.4490754274222
1987-01-01,20.5213672980284
1988-01-01,20.3803516094501
1989-01-01,22.6673551094838
1990-01-01,19.6257065968636
1991-01-01,19.8314961213332
1992-01-01,19.4097866327335
1993-01-01,21.5572323065538
1994-01-01,24.2003021044609
1995-01-01,22.5932184879596
1996-01-01,22.4539315859477
1997-01-01,20.4366484935467
1998-01-01,21.4342561623989
1999-01-01,16.7805616403237
2000-01-01,24.6693604102501
2001-01-01,21.7576770953643
2002-01-01,27.301318352039
2003-01-01,27.2942859576299
2004-01-01,22.3975242052323
2005-01-01,24.6057781977531
2006-01-01,20.1222170316256
2007-01-01,22.9645891042856
2008-01-01,22.0880337128272
2009-01-01,24.6224511537796
2010-01-01,20.5810744627928
2011-01-01,24.2210742559188
2012-01-01,22.8357229672945
2013-01-01,20.6287128521846
2014-01-01,20.2747581995451
2015-01-01,19.7992369700701
2016-01-01,21.3945087677393
2017-01-01,20.8051840170836
2018-01-01,27.6585882137983
2019-01-01,25.2672086813511
2020-01-01,28.0452766614083
